ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 3 default"
,variation,8867033861,"Have The Day You Deserve Shirt, Kindness Gift, Sarcastic Shirts, Motivational Skeleton TShirt, Inspirational Clothes, Positive Graphic Tees",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,11,Size,"Women VNeck / 2XL",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033862,"Have The Day You Deserve Shirt, Kindness Gift, Sarcastic Shirts, Motivational Skeleton TShirt, Inspirational Clothes, Positive Graphic Tees",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,12,Size,"Women Tank Top Racerback / S",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033863,"Have The Day You Deserve Shirt, Kindness Gift, Sarcastic Shirts, Motivational Skeleton TShirt, Inspirational Clothes, Positive Graphic Tees",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,13,Size,"Women Tank Top Racerback / M",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033864,"Have The Day You Deserve Shirt, Kindness Gift, Sarcastic Shirts, Motivational Skeleton TShirt, Inspirational Clothes, Positive Graphic Tees",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,14,Size,"Women Tank Top Racerback / L",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033865,"Have The Day You Deserve Shirt, Kindness Gift, Sarcastic Shirts, Motivational Skeleton TShirt, Inspirational Clothes, Positive Graphic Tees",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,15,Size,"Women Tank Top Racerback / XL",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033866,"Have The Day You Deserve Shirt, Kindness Gift, Sarcastic Shirts, Motivational Skeleton TShirt, Inspirational Clothes, Positive Graphic Tees",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,16,Size,"Women Tank Top Racerback / 2XL",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033867,"Have The Day You Deserve Shirt, Kindness Gift, Sarcastic Shirts, Motivational Skeleton TShirt, Inspirational Clothes, Positive Graphic Tees",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,17,Size,"Youth Shirt / S",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033868,"Have The Day You Deserve Shirt, Kindness Gift, Sarcastic Shirts, Motivational Skeleton TShirt, Inspirational Clothes, Positive Graphic Tees",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,18,Size,"Youth Shirt / M",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033869,"Have The Day You Deserve Shirt, Kindness Gift, Sarcastic Shirts, Motivational Skeleton TShirt, Inspirational Clothes, Positive Graphic Tees",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,19,Size,"Youth Shirt / L",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033870,"Have The Day You Deserve Shirt, Kindness Gift, Sarcastic Shirts, Motivational Skeleton TShirt, Inspirational Clothes, Positive Graphic Tees",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,20,Size,"Youth Shirt / XL",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033871,"Have The Day You Deserve Shirt, Kindness Gift, Sarcastic Shirts, Motivational Skeleton TShirt, Inspirational Clothes, Positive Graphic Tees",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,21,Size,"Toddler Shirt / 2T",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033872,"Have The Day You Deserve Shirt, Kindness Gift, Sarcastic Shirts, Motivational Skeleton TShirt, Inspirational Clothes, Positive Graphic Tees",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,22,Size,"Toddler Shirt / 3T",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033873,"Have The Day You Deserve Shirt, Kindness Gift, Sarcastic Shirts, Motivational Skeleton TShirt, Inspirational Clothes, Positive Graphic Tees",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,23,Size,"Toddler Shirt / 4T",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033874,"Have The Day You Deserve Shirt, Kindness Gift, Sarcastic Shirts, Motivational Skeleton TShirt, Inspirational Clothes, Positive Graphic Tees",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,24,Size,"Toddler Shirt / 5T",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variable,886703388,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,"
    If you want both-sided printing, please add the product in this link to your cart as much as the T-shirt quantity.
https://www.etsy.com/listing/911568734/both-side-printFore bulk orders (10 pieces or more),Please contact with us and we can provide you more discounts.
Please be aware of that we can not make changes on the design. Thank you for your understanding.

This customized gift can be used by all the members of family, it will be the best wanderlust, travel apparel unisex personalized shirt ever!

👉 Product Details:The T-Shirts, Hoodies, Youth, Toddler and Baby Suits are unisex.👈


👉Reading the Sizing Chart: Please note that the sizing chart includes the measurements of one side of the shirt, not the circumference. 👈

👉Please review all the sizing charts that were added in the product pictures.

👉How Do I Order👈
1️⃣ Please review all the information provided before placing an order
2️⃣ Select the shirt type and size using the drop down menu.
3️⃣ Select the color of the shirt using the following drop down menu.
4️⃣ Please add the vinyl color (white or black) in the optional message section of the order.
5️⃣ Need more Items? Add the current item in the cart. And If you like to add more items to your order please press the back button and repeat steps 1-4 again.
6️⃣ Once all your desired items are in your cart you may complete your order by entering your payment method, desired shipping address and click submit.


We are working with 3 different shirt brands. If you want specific one please send message to us. Otherwise available brand will be shipped.

👉When Can I Expect My Order 👈
Processing Time: 2-5 days
During holidays please expect delays as the amount of orders are slightly higher than usual, although we will do our best to get your order to you as soon as possible.

👉Shipping Time👈
First Class shipping will take 1-5 business days
Priority shipping which includes tracking will take 2-3 business days.

👉Care Instructions 👈
Wash items inside out in cold water, do not bleach, do not dry clean, do not iron directly on the design.

👉Returns👈
All items are made-to-order. Because of the nature of these items, unless they arrive damaged or defective, I cant",,,taxable,,1,100,,0,0,,,,,1,,50,100,Uncategorized,,,"https://i.etsystatic.com/43248537/r/il/da9701/5080539688/il_fullxfull.5080539688_og6s.jpg,https://i.etsystatic.com/43248537/r/il/6c0da5/5128757119/il_fullxfull.5128757119_r444.jpg,https://i.etsystatic.com/43248537/r/il/b601b1/5128745645/il_fullxfull.5128745645_dt2a.jpg,https://i.etsystatic.com/43248537/r/il/efbf73/5128746247/il_fullxfull.5128746247_bw2v.jpg,https://i.etsystatic.com/43248537/r/il/e7fcaa/5080513614/il_fullxfull.5080513614_qi5h.jpg,https://i.etsystatic.com/43248537/r/il/e09a85/5080513680/il_fullxfull.5080513680_pc9r.jpg,https://i.etsystatic.com/43248537/r/il/009629/4999138715/il_fullxfull.4999138715_ruhl.jpg,https://i.etsystatic.com/43248537/r/il/960541/4950869764/il_fullxfull.4950869764_fm5c.jpg",,,,,,,,,0,Size,"Adult Unisex Shirt / S,Adult Unisex Shirt / M,Adult Unisex Shirt / L,Adult Unisex Shirt / XL,Adult Unisex Shirt / 2XL,Adult Unisex Shirt / 3XL,Women VNeck / S,Women VNeck / M,Women VNeck / L,Women VNeck / XL,Women VNeck / 2XL,Women Tank Top Racerback / S,Women Tank Top Racerback / M,Women Tank Top Racerback / L,Women Tank Top Racerback / XL,Women Tank Top Racerback / 2XL,Youth Shirt / S,Youth Shirt / M,Youth Shirt / L,Youth Shirt / XL,Toddler Shirt / 2T,Toddler Shirt / 3T,Toddler Shirt / 4T,Toddler Shirt / 5T",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033851,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,1,Size,"Adult Unisex Shirt / S",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033852,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,2,Size,"Adult Unisex Shirt / M",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033853,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,3,Size,"Adult Unisex Shirt / L",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033854,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,4,Size,"Adult Unisex Shirt / XL",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033855,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,5,Size,"Adult Unisex Shirt / 2XL",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033856,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,6,Size,"Adult Unisex Shirt / 3XL",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033857,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,7,Size,"Women VNeck / S",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033858,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,8,Size,"Women VNeck / M",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033859,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,9,Size,"Women VNeck / L",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033860,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,10,Size,"Women VNeck / XL",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033861,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,11,Size,"Women VNeck / 2XL",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033862,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,12,Size,"Women Tank Top Racerback / S",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033863,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,13,Size,"Women Tank Top Racerback / M",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033864,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,14,Size,"Women Tank Top Racerback / L",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033865,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,15,Size,"Women Tank Top Racerback / XL",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033866,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,16,Size,"Women Tank Top Racerback / 2XL",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033867,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,17,Size,"Youth Shirt / S",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033868,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,18,Size,"Youth Shirt / M",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033869,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,19,Size,"Youth Shirt / L",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033870,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,20,Size,"Youth Shirt / XL",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033871,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,21,Size,"Toddler Shirt / 2T",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033872,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,22,Size,"Toddler Shirt / 3T",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033873,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,23,Size,"Toddler Shirt / 4T",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variation,8867033874,"August Birthday Shirt, August is My Birthday Shirt, August Girl Gift, Women Born in August, August Birthday T-Shirt, Born in August Shirt,",1,0,visible,,,,,taxable,parent,1,100,,,0,,,,,0,,50,100,,,,,,,886703385,,,,,,24,Size,"Toddler Shirt / 5T",0,1,"Adult Unisex Shirt / S",,,,,,,,,,
,variable,886703389,"Wild Flowers Shirt, Wildflower Tshirt, Floral Shirt, Botanical Shirt, Flower Shirt, Nature Lover Shirt,Ladies Shirts, Womens Tees,Flover Tee",1,0,visible,,"
    If you want both-sided printing, please add the product in this link to your cart as much as the T-shirt quantity.
https://www.etsy.com/listing/911568734/both-side-printFore bulk orders (10 pieces or more),Please contact with us and we can provide you more discounts.
Please be aware of that we can not make changes on the design. Thank you for your understanding.

This customized gift can be used by all the members of family, it will be the best wanderlust, travel apparel unisex personalized shirt ever!

👉 Product Details:The T-Shirts, Hoodies, Youth, Toddler and Baby Suits are unisex.👈


👉Reading the Sizing Chart: Please note that the sizing chart includes the measurements of one side of the shirt, not the circumference. 👈

👉Please review all the sizing charts that were added in the product pictures.

👉How Do I Order👈
1️⃣ Please review all the information provided before placing an order
2️⃣ Select the shirt type and size using the drop down menu.
3️⃣ Select the color of the shirt using the following drop down menu.
4️⃣ Please add the vinyl color (white or black) in the optional message section of the order.
5️⃣ Need more Items? Add the current item in the cart. And If you like to add more items to your order please press the back button and repeat steps 1-4 again.
6️⃣ Once all your desired items are in your cart you may complete your order by entering your payment method, desired shipping address and click submit.


We are working with 3 different shirt brands. If you want specific one please send message to us. Otherwise available brand will be shipped.

👉When Can I Expect My Order 👈
Processing Time: 2-5 days
During holidays please expect delays as the amount of orders are slightly higher than usual, although we will do our best to get your order to you as soon as possible.

👉Shipping Time👈
First Class shipping will take 1-5 business days
Priority shipping which includes tracking will take 2-3 business days.

👉Care Instructions 👈
Wash items inside out in cold water, do not bleach, do not dry clean, do not iron directly on the design.

👉Returns👈
